transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,country
2938,1001,2028,4407.02,2023-01-01 00:48:57,1,American Express,City-35,Retail,61,Purchase at Merchant-2028,Portugal
2939,1034,2096,1629.27,2023-01-01 00:48:58,1,Visa,City-4,Groceries,68,Purchase at Merchant-2096,Greece
2940,1050,2026,3317.79,2023-01-01 00:48:59,1,Visa,City-43,Restaurant,67,Purchase at Merchant-2026,Slovakia
2941,1031,2095,6670.54,2023-01-01 00:49:00,1,Visa,City-11,Retail,49,Purchase at Merchant-2095,Latvia
2942,1058,2084,5963.0,2023-01-01 00:49:01,0,American Express,City-2,Restaurant,52,Purchase at Merchant-2084,Estonia
2943,1097,2002,7599.86,2023-01-01 00:49:02,1,Discover,City-10,Restaurant,49,Purchase at Merchant-2002,Lithuania
2944,1035,2047,9107.53,2023-01-01 00:49:03,0,American Express,City-40,Groceries,30,Purchase at Merchant-2047,Slovenia
2945,1043,2093,7190.46,2023-01-01 00:49:04,1,Discover,City-5,Restaurant,35,Purchase at Merchant-2093,Serbia
2946,1039,2074,2150.23,2023-01-01 00:49:05,1,American Express,City-42,Restaurant,50,Purchase at Merchant-2074,Czech Republic
2947,1075,2014,7082.11,2023-01-01 00:49:06,1,American Express,City-30,Gas Station,21,Purchase at Merchant-2014,Romania
2948,1093,2087,8176.83,2023-01-01 00:49:07,0,Discover,City-12,Online Shopping,53,Purchase at Merchant-2087,Norway
2949,1074,2019,1391.37,2023-01-01 00:49:08,1,MasterCard,City-25,Restaurant,67,Purchase at Merchant-2019,Bulgaria
2950,1002,2049,9512.85,2023-01-01 00:49:09,1,Discover,City-21,Gas Station,38,Purchase at Merchant-2049,Kosovo
2951,1034,2055,9458.58,2023-01-01 00:49:10,0,Discover,City-50,Retail,25,Purchase at Merchant-2055,Italy
2952,1084,2087,5194.26,2023-01-01 00:49:11,0,Visa,City-7,Travel,62,Purchase at Merchant-2087,Malta
2953,1047,2022,1315.38,2023-01-01 00:49:12,0,American Express,City-42,Restaurant,34,Purchase at Merchant-2022,Belarus
2954,1089,2008,290.5,2023-01-01 00:49:13,1,Visa,City-42,Groceries,57,Purchase at Merchant-2008,Vatican City
2955,1031,2013,6755.45,2023-01-01 00:49:14,0,Discover,City-16,Restaurant,43,Purchase at Merchant-2013,Latvia
2956,1008,2046,9721.13,2023-01-01 00:49:15,1,Discover,City-47,Retail,44,Purchase at Merchant-2046,Germany
2957,1086,2061,1355.82,2023-01-01 00:49:16,1,Visa,City-17,Gas Station,46,Purchase at Merchant-2061,Slovenia
2958,1016,2023,3649.43,2023-01-01 00:49:17,0,American Express,City-10,Retail,41,Purchase at Merchant-2023,Kosovo
2959,1060,2007,7294.74,2023-01-01 00:49:18,1,American Express,City-3,Travel,47,Purchase at Merchant-2007,Germany
2960,1040,2016,7263.83,2023-01-01 00:49:19,0,Discover,City-20,Restaurant,60,Purchase at Merchant-2016,Latvia
2961,1021,2066,552.36,2023-01-01 00:49:20,1,American Express,City-41,Groceries,24,Purchase at Merchant-2066,Monaco
2962,1052,2084,1892.52,2023-01-01 00:49:21,0,Discover,City-22,Restaurant,62,Purchase at Merchant-2084,France
2963,1088,2044,386.19,2023-01-01 00:49:22,1,Discover,City-32,Travel,42,Purchase at Merchant-2044,Moldova
2964,1065,2076,454.21,2023-01-01 00:49:23,1,MasterCard,City-34,Retail,54,Purchase at Merchant-2076,Spain
2965,1091,2056,7612.36,2023-01-01 00:49:24,1,Discover,City-49,Gas Station,38,Purchase at Merchant-2056,Slovenia
2966,1099,2020,4894.56,2023-01-01 00:49:25,0,Visa,City-8,Restaurant,36,Purchase at Merchant-2020,Monaco
2967,1040,2081,8110.22,2023-01-01 00:49:26,0,Visa,City-16,Retail,19,Purchase at Merchant-2081,Malta
2968,1089,2093,6863.29,2023-01-01 00:49:27,0,MasterCard,City-7,Online Shopping,26,Purchase at Merchant-2093,Andorra
2969,1016,2052,4661.36,2023-01-01 00:49:28,0,American Express,City-19,Groceries,30,Purchase at Merchant-2052,Luxembourg
2970,1082,2032,5039.57,2023-01-01 00:49:29,0,Visa,City-24,Gas Station,24,Purchase at Merchant-2032,Austria
2971,1038,2005,8637.59,2023-01-01 00:49:30,1,American Express,City-49,Groceries,68,Purchase at Merchant-2005,Croatia
2972,1048,2016,4389.32,2023-01-01 00:49:31,1,Discover,City-25,Gas Station,30,Purchase at Merchant-2016,Ukraine
2973,1079,2031,6839.14,2023-01-01 00:49:32,1,MasterCard,City-9,Travel,66,Purchase at Merchant-2031,Poland
2974,1029,2051,6936.26,2023-01-01 00:49:33,1,Discover,City-47,Restaurant,64,Purchase at Merchant-2051,Sweden
2975,1029,2063,7223.22,2023-01-01 00:49:34,0,Visa,City-24,Travel,36,Purchase at Merchant-2063,Romania
2976,1018,2039,8786.37,2023-01-01 00:49:35,1,Visa,City-15,Travel,29,Purchase at Merchant-2039,Bosnia and Herzegovina
2977,1062,2089,6676.81,2023-01-01 00:49:36,1,Visa,City-4,Online Shopping,61,Purchase at Merchant-2089,Slovakia
2978,1020,2077,3580.07,2023-01-01 00:49:37,0,American Express,City-14,Restaurant,42,Purchase at Merchant-2077,Liechtenstein
2979,1059,2023,2375.59,2023-01-01 00:49:38,0,Visa,City-4,Retail,53,Purchase at Merchant-2023,Luxembourg
2980,1096,2084,5354.55,2023-01-01 00:49:39,1,Discover,City-9,Groceries,30,Purchase at Merchant-2084,Switzerland
2981,1078,2096,9243.78,2023-01-01 00:49:40,1,American Express,City-18,Groceries,57,Purchase at Merchant-2096,Ireland
2982,1048,2049,7988.93,2023-01-01 00:49:41,0,Discover,City-5,Online Shopping,59,Purchase at Merchant-2049,Belgium
2983,1054,2100,9226.25,2023-01-01 00:49:42,0,American Express,City-15,Retail,67,Purchase at Merchant-2100,Denmark
2984,1090,2089,7905.46,2023-01-01 00:49:43,1,MasterCard,City-2,Retail,60,Purchase at Merchant-2089,Estonia
2985,1071,2086,8137.97,2023-01-01 00:49:44,1,Visa,City-1,Retail,42,Purchase at Merchant-2086,Czech Republic
2986,1061,2085,413.97,2023-01-01 00:49:45,1,Discover,City-8,Restaurant,55,Purchase at Merchant-2085,Croatia
2987,1097,2012,183.2,2023-01-01 00:49:46,1,MasterCard,City-8,Gas Station,57,Purchase at Merchant-2012,Lithuania
2988,1069,2100,9780.12,2023-01-01 00:49:47,1,Visa,City-14,Travel,40,Purchase at Merchant-2100,Monaco
2989,1086,2060,2370.51,2023-01-01 00:49:48,1,Discover,City-5,Gas Station,47,Purchase at Merchant-2060,Spain
2990,1028,2084,3884.63,2023-01-01 00:49:49,0,Discover,City-19,Retail,24,Purchase at Merchant-2084,Russia
2991,1098,2049,829.28,2023-01-01 00:49:50,0,Visa,City-28,Groceries,32,Purchase at Merchant-2049,San Marino
2992,1032,2036,5730.93,2023-01-01 00:49:51,1,Discover,City-20,Online Shopping,70,Purchase at Merchant-2036,Kosovo
2993,1088,2081,7944.54,2023-01-01 00:49:52,1,Visa,City-20,Restaurant,58,Purchase at Merchant-2081,Croatia
2994,1097,2084,3214.13,2023-01-01 00:49:53,1,Discover,City-12,Groceries,58,Purchase at Merchant-2084,Cyprus
2995,1077,2057,4607.55,2023-01-01 00:49:54,1,American Express,City-6,Gas Station,57,Purchase at Merchant-2057,Germany
2996,1011,2048,3475.41,2023-01-01 00:49:55,0,Discover,City-19,Restaurant,70,Purchase at Merchant-2048,Vatican City
2997,1068,2002,8719.53,2023-01-01 00:49:56,1,MasterCard,City-16,Online Shopping,40,Purchase at Merchant-2002,Slovenia
2998,1058,2016,9541.4,2023-01-01 00:49:57,1,MasterCard,City-30,Travel,47,Purchase at Merchant-2016,Iceland
2999,1068,2015,8721.35,2023-01-01 00:49:58,1,Discover,City-42,Retail,19,Purchase at Merchant-2015,Sweden
3000,1091,2011,5709.46,2023-01-01 00:49:59,1,MasterCard,City-31,Travel,20,Purchase at Merchant-2011,Italy
3001,1047,2016,9286.09,2023-01-01 00:50:00,0,American Express,City-33,Gas Station,24,Purchase at Merchant-2016,Bosnia and Herzegovina
3002,1010,2063,944.76,2023-01-01 00:50:01,1,Visa,City-44,Gas Station,45,Purchase at Merchant-2063,Estonia
3003,1073,2083,7791.66,2023-01-01 00:50:02,0,Visa,City-44,Retail,53,Purchase at Merchant-2083,Andorra
3004,1015,2086,6432.69,2023-01-01 00:50:03,0,Visa,City-2,Gas Station,36,Purchase at Merchant-2086,Bulgaria
3005,1008,2066,1683.13,2023-01-01 00:50:04,0,American Express,City-24,Groceries,40,Purchase at Merchant-2066,Greece
3006,1071,2029,9269.35,2023-01-01 00:50:05,1,American Express,City-22,Travel,22,Purchase at Merchant-2029,Austria
3007,1065,2003,9418.86,2023-01-01 00:50:06,1,Discover,City-43,Retail,58,Purchase at Merchant-2003,United Kingdom
3008,1026,2076,7495.29,2023-01-01 00:50:07,1,Discover,City-40,Restaurant,27,Purchase at Merchant-2076,Austria
3009,1074,2074,6643.44,2023-01-01 00:50:08,0,Discover,City-9,Retail,28,Purchase at Merchant-2074,Moldova
3010,1069,2074,933.83,2023-01-01 00:50:09,1,Visa,City-48,Gas Station,64,Purchase at Merchant-2074,Switzerland
3011,1020,2062,1996.41,2023-01-01 00:50:10,1,MasterCard,City-9,Retail,35,Purchase at Merchant-2062,Slovenia
3012,1022,2036,2779.07,2023-01-01 00:50:11,1,Discover,City-31,Online Shopping,58,Purchase at Merchant-2036,Serbia
3013,1042,2089,8679.89,2023-01-01 00:50:12,1,American Express,City-31,Groceries,21,Purchase at Merchant-2089,Poland
3014,1067,2096,5118.7,2023-01-01 00:50:13,1,Discover,City-2,Groceries,29,Purchase at Merchant-2096,Monaco
3015,1057,2013,576.32,2023-01-01 00:50:14,0,MasterCard,City-43,Gas Station,32,Purchase at Merchant-2013,Albania
3016,1015,2076,8234.26,2023-01-01 00:50:15,1,Visa,City-9,Travel,51,Purchase at Merchant-2076,Croatia
3017,1088,2024,9117.43,2023-01-01 00:50:16,1,MasterCard,City-28,Travel,66,Purchase at Merchant-2024,San Marino
3018,1027,2050,5769.73,2023-01-01 00:50:17,0,Visa,City-4,Groceries,46,Purchase at Merchant-2050,Norway
3019,1092,2062,9921.86,2023-01-01 00:50:18,0,MasterCard,City-48,Travel,69,Purchase at Merchant-2062,Switzerland
3020,1075,2083,835.65,2023-01-01 00:50:19,1,Discover,City-20,Groceries,52,Purchase at Merchant-2083,San Marino
3021,1063,2090,6870.87,2023-01-01 00:50:20,0,American Express,City-37,Online Shopping,57,Purchase at Merchant-2090,Belarus
3022,1012,2056,5003.65,2023-01-01 00:50:21,0,MasterCard,City-30,Groceries,61,Purchase at Merchant-2056,Netherlands
3023,1066,2039,6090.89,2023-01-01 00:50:22,1,American Express,City-26,Restaurant,30,Purchase at Merchant-2039,Bosnia and Herzegovina
3024,1058,2074,1160.55,2023-01-01 00:50:23,0,Visa,City-40,Gas Station,20,Purchase at Merchant-2074,Vatican City
3025,1008,2017,3984.22,2023-01-01 00:50:24,0,Discover,City-42,Groceries,30,Purchase at Merchant-2017,Ireland
3026,1059,2013,6336.57,2023-01-01 00:50:25,0,Visa,City-31,Groceries,52,Purchase at Merchant-2013,Norway
3027,1017,2042,7320.24,2023-01-01 00:50:26,1,American Express,City-40,Gas Station,25,Purchase at Merchant-2042,Cyprus
3028,1066,2009,1164.44,2023-01-01 00:50:27,1,Visa,City-38,Online Shopping,36,Purchase at Merchant-2009,Estonia
3029,1054,2092,1582.47,2023-01-01 00:50:28,0,American Express,City-48,Restaurant,64,Purchase at Merchant-2092,Denmark
3030,1059,2069,8668.64,2023-01-01 00:50:29,1,American Express,City-34,Online Shopping,47,Purchase at Merchant-2069,Vatican City
3031,1073,2024,9240.64,2023-01-01 00:50:30,0,American Express,City-29,Travel,43,Purchase at Merchant-2024,Greece
3032,1008,2052,9601.54,2023-01-01 00:50:31,1,MasterCard,City-45,Retail,70,Purchase at Merchant-2052,Albania
3033,1072,2090,4107.01,2023-01-01 00:50:32,0,Discover,City-12,Retail,21,Purchase at Merchant-2090,United Kingdom
3034,1060,2003,7529.07,2023-01-01 00:50:33,1,MasterCard,City-23,Travel,35,Purchase at Merchant-2003,Kosovo
3035,1087,2051,1404.95,2023-01-01 00:50:34,1,Visa,City-26,Gas Station,18,Purchase at Merchant-2051,Netherlands
3036,1040,2072,1160.51,2023-01-01 00:50:35,1,American Express,City-43,Groceries,54,Purchase at Merchant-2072,Finland
3037,1093,2069,7716.06,2023-01-01 00:50:36,0,MasterCard,City-38,Travel,43,Purchase at Merchant-2069,Portugal
3038,1003,2068,6737.64,2023-01-01 00:50:37,1,Discover,City-28,Restaurant,62,Purchase at Merchant-2068,Belarus
3039,1051,2063,1168.18,2023-01-01 00:50:38,1,Discover,City-42,Gas Station,29,Purchase at Merchant-2063,Monaco
3040,1033,2009,3831.99,2023-01-01 00:50:39,1,MasterCard,City-50,Travel,65,Purchase at Merchant-2009,Serbia
3041,1001,2067,1054.01,2023-01-01 00:50:40,0,Visa,City-20,Retail,45,Purchase at Merchant-2067,North Macedonia
3042,1096,2075,9133.72,2023-01-01 00:50:41,1,American Express,City-5,Groceries,27,Purchase at Merchant-2075,Moldova
3043,1028,2069,428.09,2023-01-01 00:50:42,0,American Express,City-5,Gas Station,54,Purchase at Merchant-2069,Belgium
3044,1075,2092,6178.9,2023-01-01 00:50:43,1,Discover,City-14,Travel,28,Purchase at Merchant-2092,Luxembourg
3045,1010,2084,328.85,2023-01-01 00:50:44,1,Discover,City-23,Groceries,27,Purchase at Merchant-2084,Austria
3046,1006,2016,1368.51,2023-01-01 00:50:45,1,Visa,City-1,Retail,40,Purchase at Merchant-2016,Poland
3047,1055,2097,3435.96,2023-01-01 00:50:46,0,Discover,City-29,Retail,67,Purchase at Merchant-2097,Belarus
3048,1045,2097,7428.37,2023-01-01 00:50:47,0,Visa,City-45,Online Shopping,54,Purchase at Merchant-2097,Luxembourg
3049,1090,2027,5296.26,2023-01-01 00:50:48,1,Discover,City-28,Groceries,68,Purchase at Merchant-2027,Italy
3050,1009,2085,4381.99,2023-01-01 00:50:49,1,American Express,City-19,Groceries,63,Purchase at Merchant-2085,Portugal
3051,1070,2016,2494.25,2023-01-01 00:50:50,1,American Express,City-40,Gas Station,40,Purchase at Merchant-2016,Malta
3052,1008,2024,9255.58,2023-01-01 00:50:51,1,Visa,City-40,Retail,30,Purchase at Merchant-2024,Belgium
3053,1009,2077,7470.26,2023-01-01 00:50:52,0,American Express,City-25,Gas Station,46,Purchase at Merchant-2077,Romania
3054,1061,2089,2148.75,2023-01-01 00:50:53,0,American Express,City-29,Groceries,45,Purchase at Merchant-2089,Monaco
3055,1005,2024,2943.19,2023-01-01 00:50:54,1,Visa,City-11,Travel,28,Purchase at Merchant-2024,Montenegro
3056,1037,2001,1932.52,2023-01-01 00:50:55,0,Visa,City-45,Gas Station,25,Purchase at Merchant-2001,Cyprus
3057,1053,2072,3809.03,2023-01-01 00:50:56,0,Visa,City-29,Groceries,18,Purchase at Merchant-2072,Serbia
3058,1024,2058,2091.94,2023-01-01 00:50:57,1,American Express,City-46,Restaurant,64,Purchase at Merchant-2058,Bosnia and Herzegovina
3059,1099,2041,143.96,2023-01-01 00:50:58,0,Visa,City-26,Restaurant,54,Purchase at Merchant-2041,Ireland
3060,1018,2016,1796.59,2023-01-01 00:50:59,0,Discover,City-13,Retail,53,Purchase at Merchant-2016,Ukraine
3061,1099,2006,6509.76,2023-01-01 00:51:00,0,American Express,City-14,Online Shopping,41,Purchase at Merchant-2006,Denmark
3062,1083,2017,6654.79,2023-01-01 00:51:01,1,Discover,City-37,Online Shopping,30,Purchase at Merchant-2017,Andorra
3063,1094,2074,3021.64,2023-01-01 00:51:02,1,Visa,City-27,Gas Station,29,Purchase at Merchant-2074,Ukraine
3064,1083,2027,5214.72,2023-01-01 00:51:03,0,MasterCard,City-33,Retail,63,Purchase at Merchant-2027,Ukraine
3065,1054,2084,1504.82,2023-01-01 00:51:04,0,MasterCard,City-2,Online Shopping,46,Purchase at Merchant-2084,Cyprus
3066,1048,2021,7852.16,2023-01-01 00:51:05,0,Visa,City-3,Online Shopping,26,Purchase at Merchant-2021,Kosovo
3067,1049,2012,1769.61,2023-01-01 00:51:06,1,Visa,City-29,Online Shopping,46,Purchase at Merchant-2012,Lithuania
3068,1058,2072,910.1,2023-01-01 00:51:07,0,Discover,City-8,Retail,69,Purchase at Merchant-2072,Portugal
3069,1049,2033,236.87,2023-01-01 00:51:08,1,American Express,City-7,Travel,26,Purchase at Merchant-2033,Latvia
3070,1049,2097,5588.28,2023-01-01 00:51:09,1,Visa,City-40,Travel,69,Purchase at Merchant-2097,Austria
3071,1011,2005,3953.89,2023-01-01 00:51:10,1,Discover,City-19,Gas Station,20,Purchase at Merchant-2005,Estonia
3072,1088,2011,5252.92,2023-01-01 00:51:11,0,Discover,City-32,Online Shopping,45,Purchase at Merchant-2011,Monaco
3073,1085,2016,9220.07,2023-01-01 00:51:12,1,MasterCard,City-21,Retail,43,Purchase at Merchant-2016,Netherlands
3074,1070,2065,8599.84,2023-01-01 00:51:13,1,Discover,City-4,Online Shopping,47,Purchase at Merchant-2065,Malta
3075,1018,2039,5768.53,2023-01-01 00:51:14,0,MasterCard,City-43,Gas Station,41,Purchase at Merchant-2039,Kosovo
3076,1084,2047,3273.13,2023-01-01 00:51:15,1,MasterCard,City-50,Retail,35,Purchase at Merchant-2047,Monaco
3077,1045,2070,1355.0,2023-01-01 00:51:16,1,American Express,City-23,Retail,55,Purchase at Merchant-2070,Malta
3078,1016,2022,5967.27,2023-01-01 00:51:17,0,American Express,City-41,Online Shopping,59,Purchase at Merchant-2022,Poland
3079,1023,2055,3762.01,2023-01-01 00:51:18,1,MasterCard,City-12,Groceries,18,Purchase at Merchant-2055,Kosovo
3080,1069,2085,180.98,2023-01-01 00:51:19,0,Discover,City-9,Gas Station,41,Purchase at Merchant-2085,Romania
3081,1051,2001,8234.15,2023-01-01 00:51:20,0,MasterCard,City-3,Groceries,54,Purchase at Merchant-2001,Portugal
3082,1068,2032,1944.6,2023-01-01 00:51:21,1,American Express,City-7,Groceries,49,Purchase at Merchant-2032,Spain
3083,1017,2039,8470.26,2023-01-01 00:51:22,0,American Express,City-5,Groceries,31,Purchase at Merchant-2039,Iceland
3084,1094,2006,9945.73,2023-01-01 00:51:23,1,Discover,City-10,Travel,19,Purchase at Merchant-2006,Denmark
3085,1029,2067,3506.25,2023-01-01 00:51:24,1,MasterCard,City-31,Restaurant,33,Purchase at Merchant-2067,Liechtenstein
3086,1001,2038,3811.15,2023-01-01 00:51:25,1,American Express,City-1,Gas Station,47,Purchase at Merchant-2038,Latvia
3087,1097,2085,7911.85,2023-01-01 00:51:26,0,Visa,City-47,Retail,38,Purchase at Merchant-2085,Hungary
3088,1003,2069,8106.54,2023-01-01 00:51:27,1,Discover,City-19,Groceries,60,Purchase at Merchant-2069,Belgium
3089,1039,2057,7362.47,2023-01-01 00:51:28,0,MasterCard,City-10,Travel,33,Purchase at Merchant-2057,Ukraine
3090,1060,2018,22.35,2023-01-01 00:51:29,1,Discover,City-9,Groceries,48,Purchase at Merchant-2018,Denmark
3091,1087,2074,9307.7,2023-01-01 00:51:30,1,Discover,City-45,Restaurant,67,Purchase at Merchant-2074,Netherlands
3092,1093,2063,7159.58,2023-01-01 00:51:31,0,American Express,City-24,Groceries,34,Purchase at Merchant-2063,Germany
3093,1070,2089,5693.01,2023-01-01 00:51:32,1,American Express,City-37,Retail,41,Purchase at Merchant-2089,Moldova
3094,1055,2041,3458.94,2023-01-01 00:51:33,1,Discover,City-47,Restaurant,68,Purchase at Merchant-2041,Romania
3095,1069,2067,7794.4,2023-01-01 00:51:34,1,American Express,City-15,Groceries,70,Purchase at Merchant-2067,Poland
3096,1049,2046,5838.75,2023-01-01 00:51:35,0,Discover,City-16,Restaurant,62,Purchase at Merchant-2046,Italy
3097,1030,2078,8236.7,2023-01-01 00:51:36,1,MasterCard,City-42,Online Shopping,21,Purchase at Merchant-2078,Greece
3098,1032,2069,7765.87,2023-01-01 00:51:37,0,Discover,City-46,Groceries,50,Purchase at Merchant-2069,Portugal
3099,1059,2066,2296.34,2023-01-01 00:51:38,1,Visa,City-9,Travel,67,Purchase at Merchant-2066,Andorra
3100,1045,2027,4542.81,2023-01-01 00:51:39,0,Visa,City-14,Gas Station,63,Purchase at Merchant-2027,Romania
3101,1020,2089,1427.37,2023-01-01 00:51:40,0,American Express,City-49,Online Shopping,51,Purchase at Merchant-2089,Slovenia
3102,1036,2013,1915.66,2023-01-01 00:51:41,0,MasterCard,City-36,Travel,31,Purchase at Merchant-2013,Monaco
3103,1025,2085,9352.34,2023-01-01 00:51:42,1,MasterCard,City-6,Groceries,18,Purchase at Merchant-2085,Slovakia
3104,1093,2006,5501.45,2023-01-01 00:51:43,0,American Express,City-20,Travel,63,Purchase at Merchant-2006,Bosnia and Herzegovina
3105,1098,2031,5401.0,2023-01-01 00:51:44,0,Visa,City-15,Restaurant,43,Purchase at Merchant-2031,Cyprus
3106,1015,2005,3879.81,2023-01-01 00:51:45,0,Discover,City-14,Restaurant,53,Purchase at Merchant-2005,Italy
3107,1005,2025,7628.1,2023-01-01 00:51:46,1,Discover,City-8,Travel,70,Purchase at Merchant-2025,Albania
3108,1085,2019,1312.03,2023-01-01 00:51:47,0,Discover,City-27,Travel,26,Purchase at Merchant-2019,Croatia
3109,1054,2039,8464.96,2023-01-01 00:51:48,0,Visa,City-5,Retail,54,Purchase at Merchant-2039,Liechtenstein
3110,1079,2028,2600.98,2023-01-01 00:51:49,0,American Express,City-28,Restaurant,34,Purchase at Merchant-2028,Austria
3111,1099,2018,758.74,2023-01-01 00:51:50,0,MasterCard,City-26,Travel,51,Purchase at Merchant-2018,Belarus
3112,1003,2078,7429.03,2023-01-01 00:51:51,1,Discover,City-48,Travel,25,Purchase at Merchant-2078,Luxembourg
3113,1031,2071,1570.14,2023-01-01 00:51:52,0,Visa,City-40,Retail,46,Purchase at Merchant-2071,Serbia
3114,1027,2028,1417.05,2023-01-01 00:51:53,0,Visa,City-43,Gas Station,21,Purchase at Merchant-2028,Germany
3115,1009,2076,4823.71,2023-01-01 00:51:54,1,Discover,City-31,Restaurant,35,Purchase at Merchant-2076,Kosovo
3116,1013,2046,547.62,2023-01-01 00:51:55,1,American Express,City-20,Retail,55,Purchase at Merchant-2046,Romania
3117,1077,2036,1239.9,2023-01-01 00:51:56,0,MasterCard,City-44,Restaurant,62,Purchase at Merchant-2036,Vatican City
3118,1005,2017,6146.37,2023-01-01 00:51:57,1,Visa,City-20,Online Shopping,44,Purchase at Merchant-2017,France
3119,1058,2094,4798.31,2023-01-01 00:51:58,1,American Express,City-27,Travel,49,Purchase at Merchant-2094,Russia
3120,1077,2080,5579.71,2023-01-01 00:51:59,0,Visa,City-38,Online Shopping,27,Purchase at Merchant-2080,Estonia
3121,1087,2055,2786.53,2023-01-01 00:52:00,1,MasterCard,City-32,Retail,55,Purchase at Merchant-2055,Hungary
3122,1091,2010,1671.85,2023-01-01 00:52:01,1,American Express,City-3,Online Shopping,37,Purchase at Merchant-2010,Slovakia
3123,1007,2071,6198.05,2023-01-01 00:52:02,0,Discover,City-32,Gas Station,26,Purchase at Merchant-2071,Cyprus
3124,1032,2033,4436.71,2023-01-01 00:52:03,1,Visa,City-8,Groceries,46,Purchase at Merchant-2033,Romania
3125,1095,2034,7218.26,2023-01-01 00:52:04,1,Visa,City-8,Gas Station,64,Purchase at Merchant-2034,Finland
3126,1006,2049,862.88,2023-01-01 00:52:05,1,American Express,City-39,Travel,57,Purchase at Merchant-2049,Germany
3127,1052,2084,4267.73,2023-01-01 00:52:06,1,Visa,City-34,Gas Station,66,Purchase at Merchant-2084,Iceland
3128,1057,2021,5912.22,2023-01-01 00:52:07,0,MasterCard,City-46,Gas Station,23,Purchase at Merchant-2021,Poland
3129,1030,2052,4129.29,2023-01-01 00:52:08,1,Visa,City-38,Groceries,55,Purchase at Merchant-2052,Bosnia and Herzegovina
3130,1070,2059,1308.58,2023-01-01 00:52:09,0,Discover,City-22,Retail,22,Purchase at Merchant-2059,Moldova
3131,1028,2011,8601.51,2023-01-01 00:52:10,0,Discover,City-5,Gas Station,45,Purchase at Merchant-2011,Liechtenstein
3132,1097,2033,5315.16,2023-01-01 00:52:11,0,Discover,City-8,Travel,31,Purchase at Merchant-2033,Moldova
3133,1100,2087,9452.07,2023-01-01 00:52:12,0,Discover,City-8,Groceries,46,Purchase at Merchant-2087,Portugal
3134,1008,2055,1079.33,2023-01-01 00:52:13,1,American Express,City-24,Restaurant,62,Purchase at Merchant-2055,Vatican City
3135,1018,2089,3201.16,2023-01-01 00:52:14,0,MasterCard,City-32,Restaurant,57,Purchase at Merchant-2089,Serbia
3136,1065,2019,9529.62,2023-01-01 00:52:15,1,Discover,City-35,Online Shopping,51,Purchase at Merchant-2019,France
3137,1038,2069,1594.4,2023-01-01 00:52:16,1,Visa,City-30,Gas Station,67,Purchase at Merchant-2069,Russia
3138,1030,2027,8787.09,2023-01-01 00:52:17,1,Discover,City-9,Groceries,19,Purchase at Merchant-2027,Croatia
3139,1094,2010,6321.03,2023-01-01 00:52:18,0,Visa,City-16,Retail,20,Purchase at Merchant-2010,Romania
3140,1074,2081,85.7,2023-01-01 00:52:19,1,MasterCard,City-38,Online Shopping,35,Purchase at Merchant-2081,Ireland
3141,1041,2094,7015.0,2023-01-01 00:52:20,0,Discover,City-4,Groceries,66,Purchase at Merchant-2094,Netherlands
3142,1074,2035,8665.88,2023-01-01 00:52:21,0,Discover,City-13,Online Shopping,46,Purchase at Merchant-2035,France
3143,1077,2082,333.51,2023-01-01 00:52:22,1,Visa,City-32,Groceries,27,Purchase at Merchant-2082,Italy
3144,1099,2090,595.89,2023-01-01 00:52:23,0,Discover,City-8,Gas Station,18,Purchase at Merchant-2090,Luxembourg
3145,1087,2083,178.43,2023-01-01 00:52:24,1,Discover,City-21,Online Shopping,28,Purchase at Merchant-2083,Slovenia
3146,1042,2025,3638.24,2023-01-01 00:52:25,0,MasterCard,City-42,Retail,62,Purchase at Merchant-2025,Lithuania
3147,1031,2092,9051.91,2023-01-01 00:52:26,1,American Express,City-24,Groceries,64,Purchase at Merchant-2092,France
3148,1039,2048,9566.32,2023-01-01 00:52:27,1,Visa,City-34,Gas Station,51,Purchase at Merchant-2048,Malta
3149,1019,2073,5648.64,2023-01-01 00:52:28,0,Discover,City-26,Online Shopping,52,Purchase at Merchant-2073,Serbia
3150,1085,2085,7686.44,2023-01-01 00:52:29,0,American Express,City-1,Travel,53,Purchase at Merchant-2085,Liechtenstein
3151,1067,2083,4520.22,2023-01-01 00:52:30,1,MasterCard,City-12,Restaurant,63,Purchase at Merchant-2083,Latvia
3152,1029,2066,4237.66,2023-01-01 00:52:31,1,Discover,City-26,Travel,28,Purchase at Merchant-2066,Ireland
3153,1053,2078,7870.53,2023-01-01 00:52:32,0,MasterCard,City-20,Travel,31,Purchase at Merchant-2078,Vatican City
3154,1039,2021,6232.84,2023-01-01 00:52:33,0,Visa,City-9,Travel,55,Purchase at Merchant-2021,Austria
3155,1036,2054,3715.17,2023-01-01 00:52:34,0,American Express,City-14,Travel,46,Purchase at Merchant-2054,Sweden
3156,1008,2020,5905.33,2023-01-01 00:52:35,0,MasterCard,City-26,Travel,54,Purchase at Merchant-2020,Ireland
3157,1072,2041,7786.02,2023-01-01 00:52:36,0,Visa,City-12,Online Shopping,68,Purchase at Merchant-2041,Cyprus
3158,1076,2056,3486.84,2023-01-01 00:52:37,0,Discover,City-47,Groceries,49,Purchase at Merchant-2056,Monaco
3159,1095,2049,2857.59,2023-01-01 00:52:38,0,Discover,City-20,Groceries,18,Purchase at Merchant-2049,Italy
